PERMCO_Y,NIMTA_t,NIMTA_t+1,TLMTA_t,TLMTA_t+1,CASHMTA_t,CASHMTA_t+1,MB_t,MB_t+1,SIGMA_t,SIGMA_t+1,RSIZE_t,RSIZE_t+1,EXRET_t,EXRET_t+1,PRICE_t,PRICE_t+1,gind_15,gind_20,gind_25,gind_30,gind_35,gind_40,gind_45,gind_50,gind_55,gind_60,y_t+2
14535_2004,0.026964879044398798,0.026799286754998236,0.30295521218855165,0.2685451590336477,0.19299073015670007,0.16376757470399805,4.228726886538547,3.7827956813749095,0.16676804775942305,0.12658851552453906,-12.67338864366296,-12.777640287722598,0.040073514158111,-0.1530151066806862,1.043804052173115,1.175573329804238,0,0,0,0,1,0,0,0,0,0,0.0
14572_2002,0.13760109358562506,0.0008263127058205548,0.4766261660006748,0.2395458310604683,0.08864502023562794,0.10102026385437504,0.91683908341182,1.7946893878348933,0.3687099321399701,0.3225685167194993,-11.094731624136882,-10.232737246104053,-1.7685572331953072,0.7108584897763142,1.490091154801534,2.234306252240751,0,0,0,0,0,0,1,0,0,0,0.0
14572_2003,0.0008263127058205548,-0.07583293716176175,0.2395458310604683,0.460748894518505,0.10102026385437504,0.32350393675148,1.7946893878348933,0.7469919216991879,0.3225685167194993,0.16159139480220225,-10.232737246104053,-11.021812244844089,0.7108584897763142,-0.6757586561591833,2.234306252240751,1.1878434223960523,0,0,0,0,0,0,1,0,0,0,0.0
14572_2004,-0.07583293716176175,0.02032279278199049,0.460748894518505,0.2455377764789828,0.32350393675148,0.2011202980472428,0.7469919216991879,1.6045059229384675,0.16159139480220225,0.14588871074796048,-11.021812244844089,-10.30150468020244,-0.6757586561591833,0.7784523251721099,1.1878434223960523,2.150598735996164,0,0,0,0,0,0,1,0,0,0,0.0
14582_2002,0.13743407128699567,0.07122176879122788,0.2120852909981811,0.09999250775145008,0.20585115828170214,0.15679485138733992,0.8188595509008467,1.3956027281659942,0.3213869862220575,0.22551581520699035,-11.1753288092946,-10.286299026026432,-0.5204950019881281,0.6434195554955748,2.211017899468555,2.7080502011022096,0,0,1,0,0,0,0,0,0,0,0.0
14582_2003,0.07122176879122788,0.08275284260288136,0.09999250775145008,0.12763959762287028,0.15679485138733992,0.18104218672223216,1.3956027281659942,0.9221416999895632,0.22551581520699035,0.17127667735725266,-10.286299026026432,-10.173241667001683,0.6434195554955748,-0.1586573726499111,2.7080502011022096,2.6004649904222727,0,0,1,0,0,0,0,0,0,0,0.0
14582_2004,0.08275284260288136,0.03317692138624636,0.12763959762287028,0.317465253984518,0.18104218672223216,0.2870539457367917,0.9221416999895632,0.8771250865487527,0.17127667735725266,0.10423154824763448,-10.173241667001683,-10.356355228000787,-0.1586573726499111,-0.18692499208902547,2.6004649904222727,2.576421758623773,0,0,1,0,0,0,0,0,0,0,0.0
14589_2002,-0.06816324263416415,-0.15762641479426395,0.7352742796835448,0.7368416402336122,0.03777148253068933,0.0433384285070552,2.0706199260160383,5.571893590750927,0.3821668438306592,0.2997169485275301,-14.378326156240606,-14.378861543161127,-0.3123607896328977,-0.4047487152295901,0.723918839226699,0.4700036292457356,0,0,1,0,0,0,0,0,0,0,0.0
14589_2003,-0.15762641479426395,0.0,0.7368416402336122,0.0,0.0433384285070552,0.0,5.571893590750927,0.0,0.2997169485275301,0.0,-14.378861543161127,0.0,-0.4047487152295901,0.0,0.4700036292457356,0.0,0,0,1,0,0,0,0,0,0,0,0.0
14589_2004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0,0,0.0
14602_2002,0.013782243777271191,0.03448154570453614,0.41711064757710203,0.10304682949421064,0.017409433275857984,0.026916919763040656,1.4920464542066032,3.1164925876500997,0.16801432926610765,0.07526740831979423,-11.591354919093629,-10.116514634956248,0.5772316089621395,1.270203804315137,2.327277705584417,2.7080502011022096,0,1,0,0,0,0,0,0,0,0,0.0
14602_2003,0.03448154570453614,0.03299427532187664,0.10304682949421064,0.14432531670047305,0.026916919763040656,0.008795040399830742,3.1164925876500997,2.8551338637933488,0.07526740831979423,0.1027684456258276,-10.116514634956248,-9.046651886708188,1.270203804315137,0.5424594918816528,2.7080502011022096,2.7080502011022096,0,1,0,0,0,0,0,0,0,0,0.0
