,PERMCO,fyear,dlrsn
7817,9480,2004,0.0
7818,9480,2005,0.0
7819,9480,2012,0.0
7820,9480,2018,0.0
7821,9480,2019,0.0
7822,10827,2000,0.0
7823,10827,2001,0.0
7824,10827,2002,0.0
7825,10827,2003,0.0
7826,10827,2004,0.0
7827,10827,2005,0.0
7828,10827,2006,0.0
7829,10827,2007,0.0
7830,10827,2008,0.0
7831,10827,2009,0.0
7832,10827,2010,0.0
7833,10827,2011,0.0
7834,10827,2012,0.0
7835,10827,2013,0.0
7836,10827,2014,0.0
7837,10827,2015,0.0
7838,10827,2016,0.0
7839,10827,2017,0.0
7840,10827,2018,0.0
7841,10827,2019,0.0
7842,21230,2000,0.0
7843,21230,2001,0.0
7844,21230,2002,0.0
7845,21230,2003,0.0
7846,21230,2004,0.0
7847,21230,2005,0.0
7848,21230,2006,0.0
7849,21230,2007,0.0
7850,21230,2008,0.0
7851,21230,2009,0.0
7852,21230,2010,0.0
7853,21230,2011,0.0
7854,21230,2012,0.0
7855,21230,2013,0.0
7856,21230,2014,0.0
7857,21230,2015,0.0
7858,21230,2016,0.0
7859,21230,2017,0.0
7860,21230,2018,0.0
7861,21230,2019,0.0
7862,21236,2000,0.0
7863,21236,2001,0.0
7864,21236,2002,0.0
7865,21236,2003,0.0
7866,21236,2004,0.0
7867,21236,2005,0.0
7868,21236,2006,0.0
7869,21236,2007,0.0
7870,21236,2008,0.0
7871,21236,2009,0.0
7872,21236,2010,0.0
7873,21236,2011,0.0
7874,21236,2012,0.0
7875,21236,2013,0.0
7876,21236,2014,0.0
7877,21236,2015,0.0
7878,21236,2016,0.0
7879,21236,2017,0.0
7880,21236,2018,0.0
7881,21236,2019,0.0
7882,3091,2000,0.0
7883,3091,2001,0.0
7884,3091,2002,0.0
7885,3091,2003,0.0
7886,3091,2004,0.0
7887,3091,2005,0.0
7888,3091,2006,0.0
7889,3091,2007,0.0
7890,3091,2008,0.0
7891,3091,2009,0.0
7892,3091,2010,0.0
7893,3091,2011,0.0
7894,3091,2012,0.0
7895,3091,2013,0.0
7896,3091,2014,0.0
7897,3091,2015,0.0
7898,3091,2016,0.0
7899,3091,2017,0.0
7900,3091,2018,0.0
7901,3091,2019,0.0
7902,3102,2000,0.0
7903,3102,2001,0.0
7904,3102,2002,0.0
7905,3102,2003,0.0
7906,3102,2004,0.0
7907,3102,2005,0.0
7908,3102,2006,0.0
7909,3102,2007,0.0
7910,3102,2008,0.0
7911,3102,2009,0.0
7912,3102,2010,0.0
7913,3102,2011,0.0
7914,3102,2012,0.0
7915,3102,2013,0.0
7916,3102,2014,0.0
7917,3102,2015,0.0
7918,3102,2016,0.0
7919,3102,2017,0.0
7920,3102,2018,0.0
7921,3102,2019,0.0
7922,3104,2003,0.0
7923,3104,2004,0.0
7924,3104,2005,0.0
7925,3104,2006,0.0
7926,3104,2007,0.0
7927,3104,2008,0.0
7928,3104,2009,0.0
7929,3104,2010,0.0
7930,3104,2011,0.0
7931,3104,2012,0.0
7932,3104,2013,0.0
7933,3104,2014,0.0
7934,3104,2015,0.0
7935,3104,2016,0.0
7936,3104,2017,0.0
7937,3104,2018,0.0
7938,3104,2019,0.0
7939,3151,2000,0.0
7940,3151,2001,0.0
7941,3151,2002,0.0
7942,3151,2003,0.0
7943,3151,2004,0.0
7944,3151,2005,0.0
7945,3151,2006,0.0
7946,3151,2007,0.0
7947,3151,2008,0.0
7948,3151,2009,0.0
7949,3151,2010,0.0
7950,3151,2011,0.0
7951,3151,2012,0.0
7952,3151,2013,0.0
7953,3151,2014,0.0
7954,3151,2015,0.0
7955,3151,2016,0.0
7956,3151,2017,0.0
7957,3151,2018,0.0
7958,3151,2019,0.0
7959,31832,2000,0.0
7960,31832,2001,0.0
7961,31832,2002,0.0
7962,31832,2003,0.0
7963,31832,2004,0.0
7964,31832,2005,0.0
7965,31832,2006,0.0
7966,31832,2007,0.0
7967,31832,2008,0.0
7968,31832,2009,0.0
7969,31832,2010,0.0
7970,31832,2011,0.0
7971,31832,2012,0.0
7972,31832,2013,0.0
7973,31832,2014,0.0
7974,31832,2015,0.0
7975,31832,2016,0.0
7976,31832,2017,0.0
7977,31832,2018,0.0
7978,31832,2019,0.0
7979,21245,2000,0.0
7980,21245,2001,0.0
7981,21245,2002,0.0
7982,21245,2003,0.0
7983,21245,2004,0.0
7984,21245,2005,0.0
7985,21245,2006,0.0
7986,21245,2007,0.0
7987,21245,2008,0.0
7988,21245,2009,0.0
7989,21245,2010,0.0
7990,21245,2011,0.0
7991,21245,2012,0.0
7992,21245,2013,0.0
7993,21245,2014,0.0
7994,21245,2015,0.0
7995,21245,2016,0.0
7996,21245,2017,0.0
7997,21245,2018,0.0
7998,21245,2019,0.0
7999,5253,2000,0.0
8000,5253,2001,0.0
8001,5253,2002,0.0
8002,5253,2003,0.0
8003,5253,2004,0.0
8004,5253,2005,0.0
8005,5253,2006,0.0
