PERMCO_Y,NIMTA_t,NIMTA_t+1,TLMTA_t,TLMTA_t+1,CASHMTA_t,CASHMTA_t+1,MB_t,MB_t+1,SIGMA_t,SIGMA_t+1,RSIZE_t,RSIZE_t+1,EXRET_t,EXRET_t+1,PRICE_t,PRICE_t+1,gind_15,gind_20,gind_25,gind_30,gind_35,gind_40,gind_45,gind_50,gind_55,gind_60,y_t+2
41702_2017,-0.418425445498235,-1.1837799103152264,0.051181793050652825,0.436492985527803,0.2689735465487177,0.3608076062144013,1.5030878415764204,0.9957469472793776,0.12810818669205312,0.2788136787844281,-12.424696146194625,-14.049003479510827,-0.633875983287564,-1.5180582885051292,0.08617769624105241,-1.469241281940817,0,0,0,0,0,0,1,0,0,0,0.0
41813_2015,0.027675055796483463,0.02580125455204103,0.14530674457004955,0.06522685529434942,0.06787029812560108,0.05287517397853153,2.0400287924578318,2.7043015509853245,0.1117868041132588,0.06652235286095336,-10.058167630817211,-9.648966189127249,0.3922458986427634,0.18792625207226155,2.7080502011022096,2.7080502011022096,0,0,0,0,1,0,0,0,0,0,0.0
41813_2016,0.02580125455204103,0.022549170528369685,0.06522685529434942,0.052791125791895134,0.05287517397853153,0.0490351108613047,2.7043015509853245,3.117855955908434,0.06652235286095336,0.07292478375226978,-9.648966189127249,-9.32685046059304,0.18792625207226155,0.2233191275628204,2.7080502011022096,2.7080502011022096,0,0,0,0,1,0,0,0,0,0,0.0
41813_2017,0.022549170528369685,0.03092675715590588,0.052791125791895134,0.16818829351739042,0.0490351108613047,0.17975623958979245,3.117855955908434,2.3370465252626382,0.07292478375226978,0.12459927858948312,-9.32685046059304,-9.73025433217253,0.2233191275628204,-0.1568265303937155,2.7080502011022096,2.7080502011022096,0,0,0,0,1,0,0,0,0,0,0.0
41815_2015,0.009337000475822196,0.009484254423147187,0.8945861321359664,0.8816070337556975,0.049856754227140684,0.012624820410829126,1.0882518345927092,1.1689377635277582,0.044496604406605286,0.028901697602201525,-12.13514505483958,-12.095821326987341,0.0013241389846219975,-0.08309550913659125,2.7080502011022096,2.7080502011022096,0,0,0,0,0,1,0,0,0,0,0.0
41815_2016,0.009484254423147187,0.008192483138192139,0.8816070337556975,0.8856311387478443,0.012624820410829126,0.02362898904361142,1.1689377635277582,1.1763075395844838,0.028901697602201525,0.02467486309198981,-12.095821326987341,-12.004922469435414,-0.08309550913659125,0.06198682697384453,2.7080502011022096,2.7080502011022096,0,0,0,0,0,1,0,0,0,0,0.0
41815_2017,0.008192483138192139,0.007258320393774411,0.8856311387478443,0.8809321325984225,0.02362898904361142,0.011480641203112232,1.1763075395844838,1.3482983293598767,0.02467486309198981,0.06724777889695176,-12.004922469435414,-11.865625681006152,0.06198682697384453,0.09157208075414107,2.7080502011022096,2.7080502011022096,0,0,0,0,0,1,0,0,0,0,0.0
41819_2015,0.0012013757940421588,0.012856832964482041,0.540547383390969,0.6558124602042268,0.0009324110640327203,0.002006030675309255,2.550418895109392,1.7772253082640048,0.13038816965521788,0.08958675862882949,-8.84970585327072,-9.399516774141167,-0.5809355830022345,-0.6174689620064594,2.6268401456766672,2.091864061678393,0,0,0,0,0,0,0,0,0,0,0.0
41819_2016,0.012856832964482041,-0.3893377285589863,0.6558124602042268,0.6672625970048066,0.002006030675309255,0.00011678496867208178,1.7772253082640048,0.6634260223930147,0.08958675862882949,0.5851956297232057,-9.399516774141167,-9.438644215628763,-0.6174689620064594,1.0690231114391682,2.091864061678393,2.7080502011022096,0,0,0,0,0,0,0,0,0,0,0.0
41819_2017,-0.3893377285589863,-0.058687468204171624,0.6672625970048066,0.5182024758351704,0.00011678496867208178,0.0004341190435814821,0.6634260223930147,0.9968296917124296,0.5851956297232057,0.2522190761738013,-9.438644215628763,-9.298295646607244,1.0690231114391682,0.5511943526975162,2.7080502011022096,2.7080502011022096,0,0,0,0,0,0,0,0,0,0,0.0
